"id","text","label","event"
"552784600502915072","Charlie Hebdo became well known for publishing the Muhammed cartoons two years ago",0,"charliehebdo-all-rnr-threads"
"552784898743099392","Charlie Hebdo’s Last Tweet Before Shootings http://t.co/9Oa2xAqOcM http://t.co/skJHNEQcn0",0,"charliehebdo-all-rnr-threads"
"552785391653494784","Prediction: the #CharlieHebdo massacre will not dent the political class's complacency one iota",0,"charliehebdo-all-rnr-threads"
"552786116404072448","10:28am Charlie Hebdo account mocks ISIS leader  wishing him ""good health and best wishes"" http://t.co/9Oa2xAqOcM http://t.co/uYXayKLA7q",0,"charliehebdo-all-rnr-threads"
"552786299875520512","If your faith isn't strong enough to cope with satirical poke  it oughtn't be strong enough to induce you to kill. Barbaric #CharlieHebdo",0,"charliehebdo-all-rnr-threads"
"552786340958715904","Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8",0,"charliehebdo-all-rnr-threads"
"552787144373460992","Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/lzQdhJ6kxR",0,"charliehebdo-all-rnr-threads"
"552787144415404032","Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/k6inhBmGsf",0,"charliehebdo-all-rnr-threads"
"552787321561812992","Every newspaper in Europe should publish those cartoons from Charlie Hebdo tomorrow. Every single one.",0,"charliehebdo-all-rnr-threads"
"552787361437057024","Jews  Catholics  Muslims  white people  black people. Everyone attacked by Charlie Hebdo  yet who reacts like this? http://t.co/fkvhfJxPoO",0,"charliehebdo-all-rnr-threads"
"552787599031828480","'It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects http://t.co/Q27XnP3AS3",0,"charliehebdo-all-rnr-threads"
"552787914271510529","If religion — any religion — is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo",0,"charliehebdo-all-rnr-threads"
"552788007603142656","#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again). http://t.co/YYyxzNaFFb",0,"charliehebdo-all-rnr-threads"
"552788555584765952","The right to mock &amp; criticise religion is a key tenet of a free and democratic society  whether it be Islam or Christianity. #CharlieHebdo",0,"charliehebdo-all-rnr-threads"
"552788720236376064","French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6",0,"charliehebdo-all-rnr-threads"
"552789196906459136","Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",0,"charliehebdo-all-rnr-threads"
